Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_female,Boruta,20,tqwt_entropy_shannon_dec_13 (TQWT),0.009524305555555557,0.006506042797899573
baseline_female,Boruta,20,std_11th_delta (MFCC),0.008854700854700855,0.009160637882663325
baseline_female,Boruta,20,std_10th_delta_delta (MFCC),0.00875079365079365,0.006881994004092694
baseline_female,Boruta,20,tqwt_stdValue_dec_13 (TQWT),0.007274305555555555,0.00672329579620577
baseline_female,Boruta,20,tqwt_TKEO_std_dec_11 (TQWT),0.006867521367521368,0.00783333831957558
baseline_female,Boruta,20,std_Log_energy (MFCC),0.005571581196581197,0.0048163071331934265
baseline,Boruta,30,std_delta_delta_log_energy (MFCC),0.026856040564373903,0.02610810643730025
baseline,Boruta,30,tqwt_energy_dec_26 (TQWT),0.026349521707137606,0.019562624345421324
baseline,Boruta,30,tqwt_kurtosisValue_dec_26 (TQWT),0.023887799564270156,0.016255046787890838
baseline,Boruta,30,tqwt_TKEO_std_dec_19 (TQWT),0.02170043572984749,0.01866099106500479
baseline,Boruta,30,tqwt_kurtosisValue_dec_20 (TQWT),0.020287581699346403,0.01631327352240671
baseline,Boruta,30,std_delta_log_energy (MFCC),0.01909193121693122,0.01809401596763983
baseline,Boruta,30,std_6th_delta_delta (MFCC),0.019081569664903,0.01486365172428088
baseline,Boruta,30,tqwt_entropy_log_dec_33 (TQWT),0.018435555555555552,0.013079516273957759
baseline,Boruta,30,tqwt_entropy_log_dec_12 (TQWT),0.017163073521282476,0.014601111169541865
baseline,Boruta,30,tqwt_entropy_log_dec_27 (TQWT),0.016690749863163653,0.01602708565526665
baseline,Boruta,30,std_7th_delta_delta (MFCC),0.016623897707231036,0.008967282155794707
baseline,Boruta,30,mean_MFCC_2nd_coef (MFCC),0.01643276014109347,0.015526515987639654
baseline,Boruta,30,tqwt_kurtosisValue_dec_18 (TQWT),0.01583188090050835,0.011546143856866892
baseline,Boruta,30,tqwt_entropy_log_dec_35 (TQWT),0.015820132013201323,0.018502103223050275
baseline,Boruta,30,DFA (Baseline),0.014672113289760345,0.009781763717534659
baseline,Boruta,30,tqwt_entropy_log_dec_26 (TQWT),0.014343137254901961,0.013675118205307646
baseline,Boruta,30,std_6th_delta (MFCC),0.014164179104477618,0.012115741786764106
baseline,Boruta,30,std_9th_delta_delta (MFCC),0.014059082892416227,0.012585315904091407
baseline,Boruta,30,std_4th_delta_delta (MFCC),0.01348111111111111,0.013205871977478733
baseline,Boruta,30,locAbsJitter (Baseline),0.013311546840958605,0.007918990720976373
baseline,Boruta,30,tqwt_entropy_log_dec_34 (TQWT),0.013051111111111109,0.015996200456141446
baseline,Boruta,30,std_7th_delta (MFCC),0.01286622443338861,0.007950908101236017
baseline,Boruta,30,tqwt_TKEO_std_dec_12 (TQWT),0.011941137566137567,0.011756526692929573
baseline,Boruta,30,tqwt_energy_dec_11 (TQWT),0.011464814814814815,0.012537404921891895
baseline,Boruta,30,GQ_std_cycle_open (Vocal Fold),0.010795206971677558,0.008833964242861843
baseline,Boruta,30,tqwt_entropy_log_dec_11 (TQWT),0.01031288004422333,0.00876303258394896
baseline,Boruta,30,tqwt_TKEO_mean_dec_12 (TQWT),0.009906301824212276,0.009409754805898323
baseline,Boruta,30,tqwt_stdValue_dec_12 (TQWT),0.009867882808181313,0.009720145269646147
baseline,Boruta,30,tqwt_TKEO_std_dec_13 (TQWT),0.009787581699346402,0.009169342418367683
baseline,Boruta,30,std_11th_delta_delta (MFCC),0.009373068432671085,0.00791952770711194
baseline,Boruta,30,tqwt_stdValue_dec_11 (TQWT),0.009369541182974018,0.008210896063593579
baseline,Boruta,30,tqwt_TKEO_mean_dec_13 (TQWT),0.008763616557734201,0.006811572496523585
baseline,Boruta,30,tqwt_energy_dec_27 (TQWT),0.008751089324618735,0.008875040659893543
baseline,Boruta,30,std_8th_delta_delta (MFCC),0.008730379188712523,0.006651358037366143
baseline,Boruta,30,tqwt_maxValue_dec_11 (TQWT),0.008382352941176471,0.007539512931612891
baseline,Boruta,30,std_4th_delta (MFCC),0.008378987898789879,0.00594135448859613
baseline,Boruta,30,tqwt_stdValue_dec_13 (TQWT),0.008281045751633988,0.0056591949770349575
baseline,Boruta,30,tqwt_entropy_shannon_dec_12 (TQWT),0.00788253178551686,0.006865875622560039
baseline,Boruta,30,std_9th_delta (MFCC),0.007870370370370371,0.005907848469151999
baseline,Boruta,30,tqwt_energy_dec_12 (TQWT),0.00730169242089772,0.009374290118286466
baseline,Boruta,30,minIntensity (Intensity),0.007290555555555555,0.006413295866183915
baseline,Boruta,30,tqwt_maxValue_dec_12 (TQWT),0.007228333333333333,0.0056750538789663765
baseline,Boruta,30,tqwt_entropy_shannon_dec_11 (TQWT),0.007207070707070707,0.0048491561587368425
baseline,Boruta,30,std_8th_delta (MFCC),0.006800442233278055,0.006540400032393152
baseline,Boruta,30,tqwt_TKEO_std_dec_11 (TQWT),0.006705387205387205,0.00900594653448892
baseline,Boruta,30,tqwt_TKEO_mean_dec_11 (TQWT),0.00669888888888889,0.007285554559869974
baseline,Boruta,30,apq11Shimmer (Baseline),0.006697167755991285,0.006024876485245342
baseline,Boruta,30,std_12th_delta_delta (MFCC),0.006643246187363835,0.006358756548064544
baseline,Boruta,30,std_10th_delta_delta (MFCC),0.006442901234567902,0.005558526217048133
baseline,Boruta,30,tqwt_entropy_log_dec_13 (TQWT),0.005749455337690631,0.0048599585837030964
baseline,Boruta,30,std_Log_energy (MFCC),0.005379767827529022,0.006870658110907371
baseline,Boruta,30,tqwt_entropy_shannon_dec_13 (TQWT),0.005336601307189542,0.004255520605561088
baseline,Boruta,30,tqwt_minValue_dec_12 (TQWT),0.00501692420897719,0.005280640144126023
baseline,Boruta,30,std_12th_delta (MFCC),0.004801742919389978,0.004719653432318315
baseline,Boruta,30,std_11th_delta (MFCC),0.004501089324618735,0.00417282425413023
baseline,Boruta,30,tqwt_entropy_log_dec_28 (TQWT),0.00430718954248366,0.004055315516125534
baseline,Boruta,30,std_MFCC_8th_coef (MFCC),0.004058956916099773,0.0027704410300844174
baseline_male,Boruta,30,tqwt_TKEO_std_dec_19 (TQWT),0.029480676328502417,0.024160775756518416
baseline_male,Boruta,30,tqwt_kurtosisValue_dec_20 (TQWT),0.022733333333333335,0.016623222223564754
baseline_male,Boruta,30,std_delta_delta_log_energy (MFCC),0.02231239316239316,0.02639130922803764
baseline_male,Boruta,30,std_delta_log_energy (MFCC),0.017686324786324786,0.017282852332421446
baseline_male,Boruta,30,std_6th_delta_delta (MFCC),0.017552564102564103,0.013641501397915819
baseline_male,Boruta,30,tqwt_energy_dec_26 (TQWT),0.015923694779116464,0.016771871610914146
baseline_male,Boruta,30,tqwt_entropy_log_dec_35 (TQWT),0.015666666666666662,0.01847552469150099
baseline_male,Boruta,30,tqwt_kurtosisValue_dec_18 (TQWT),0.015410977242302542,0.012817054155388058
