Dataset,Method,N_Features,Classifier,Fold,MCC,F1,Sensitivity,Specificity,Balanced_Accuracy,Accuracy
baseline_female,Boruta,80,NeuralNetwork_TUNED,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,80,NaiveBayes,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,80,LogisticRegression,3,0.5659164584181102,0.8571428571428571,0.8333333333333334,0.75,0.7916666666666667,0.8076923076923077
baseline_female,Boruta,80,AdaBoost,3,0.7200822998230956,0.8750000000000001,0.7777777777777778,1.0,0.8888888888888888,0.8461538461538461
baseline_female,Boruta,80,AdaBoost_TUNED,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,80,SVM_RBF,3,0.6237951349364392,0.8947368421052632,0.9444444444444444,0.625,0.7847222222222222,0.8461538461538461
baseline_female,Boruta,80,SVM_RBF_TUNED,3,0.6237951349364392,0.8947368421052632,0.9444444444444444,0.625,0.7847222222222222,0.8461538461538461
baseline_female,Boruta,90,RandomForest,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,90,RandomForest_TUNED,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,90,NeuralNetwork,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,90,NeuralNetwork_TUNED,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,90,NaiveBayes,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,90,LogisticRegression,3,0.5659164584181102,0.8571428571428571,0.8333333333333334,0.75,0.7916666666666667,0.8076923076923077
baseline_female,Boruta,90,AdaBoost,3,0.6719840027857806,0.8823529411764706,0.8333333333333334,0.875,0.8541666666666667,0.8461538461538461
baseline_female,Boruta,90,AdaBoost_TUNED,3,0.6666666666666666,0.8387096774193548,0.7222222222222222,1.0,0.8611111111111112,0.8076923076923077
baseline_female,Boruta,90,SVM_RBF,3,0.7225916412701,0.918918918918919,0.9444444444444444,0.75,0.8472222222222222,0.8846153846153846
baseline_female,Boruta,90,SVM_RBF_TUNED,3,0.6237951349364392,0.8947368421052632,0.9444444444444444,0.625,0.7847222222222222,0.8461538461538461
baseline_female,Boruta,100,RandomForest,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,100,RandomForest_TUNED,3,0.9162456945817024,0.9714285714285714,0.9444444444444444,1.0,0.9722222222222222,0.9615384615384616
baseline_female,Boruta,100,NeuralNetwork,3,0.8194444444444444,0.9444444444444444,0.9444444444444444,0.875,0.9097222222222222,0.9230769230769231
baseline_female,Boruta,100,NeuralNetwork_TUNED,3,0.7410810764999063,0.9142857142857143,0.8888888888888888,0.875,0.8819444444444444,0.8846153846153846
baseline_female,Boruta,100,NaiveBayes,3,0.6172133998483676,0.8,0.6666666666666666,1.0,0.8333333333333333,0.7692307692307693
baseline_female,Boruta,100,LogisticRegression,3,0.5659164584181102,0.8571428571428571,0.8333333333333334,0.75,0.7916666666666667,0.8076923076923077
baseline_female,Boruta,100,AdaBoost,3,0.6719840027857806,0.8823529411764706,0.8333333333333334,0.875,0.8541666666666667,0.8461538461538461
baseline_female,Boruta,100,AdaBoost_TUNED,3,0.6666666666666666,0.8387096774193548,0.7222222222222222,1.0,0.8611111111111112,0.8076923076923077
baseline_female,Boruta,100,SVM_RBF,3,0.7225916412701,0.918918918918919,0.9444444444444444,0.75,0.8472222222222222,0.8846153846153846
baseline_female,Boruta,100,SVM_RBF_TUNED,3,0.6237951349364392,0.8947368421052632,0.9444444444444444,0.625,0.7847222222222222,0.8461538461538461
baseline_female,mRMR,10,RandomForest,4,0.05143444998736397,0.6250000000000001,0.5555555555555556,0.5,0.5277777777777778,0.5384615384615384
baseline_female,mRMR,10,RandomForest_TUNED,4,0.05143444998736397,0.6250000000000001,0.5555555555555556,0.5,0.5277777777777778,0.5384615384615384
baseline_female,mRMR,10,NeuralNetwork,4,0.3333333333333333,0.7096774193548387,0.6111111111111112,0.75,0.6805555555555556,0.6538461538461539
baseline_female,mRMR,10,NeuralNetwork_TUNED,4,0.21859641244629688,0.6875000000000001,0.6111111111111112,0.625,0.6180555555555556,0.6153846153846154
baseline_female,mRMR,10,NaiveBayes,4,0.3294039229342062,0.7647058823529411,0.7222222222222222,0.625,0.6736111111111112,0.6923076923076923
baseline_female,mRMR,10,LogisticRegression,4,0.2828894749305018,0.6666666666666667,0.5555555555555556,0.75,0.6527777777777778,0.6153846153846154
baseline_female,mRMR,10,AdaBoost,4,0.05143444998736397,0.6250000000000001,0.5555555555555556,0.5,0.5277777777777778,0.5384615384615384
baseline_female,mRMR,10,AdaBoost_TUNED,4,0.21859641244629688,0.6875000000000001,0.6111111111111112,0.625,0.6180555555555556,0.6153846153846154
