Dataset,Method,N_Features,Feature,MeanAbsSHAP,StdAbsSHAP
baseline_male,Boruta,30,tqwt_kurtosisValue_dec_20 (TQWT),0.022733333333333328,0.016623222223564754
baseline_male,Boruta,30,std_delta_delta_log_energy (MFCC),0.02231239316239316,0.026391309228037636
baseline_male,Boruta,30,std_delta_log_energy (MFCC),0.017686324786324783,0.01728285233242145
baseline_male,Boruta,30,std_6th_delta_delta (MFCC),0.017552564102564106,0.01364150139791582
baseline_male,Boruta,30,tqwt_energy_dec_26 (TQWT),0.015923694779116464,0.016771871610914143
baseline_male,Boruta,30,tqwt_entropy_log_dec_35 (TQWT),0.015666666666666666,0.01847552469150099
baseline_male,Boruta,30,tqwt_kurtosisValue_dec_18 (TQWT),0.015410977242302544,0.012817054155388054
baseline_male,Boruta,30,std_6th_delta (MFCC),0.014787719298245612,0.013056533557117212
baseline_male,Boruta,30,tqwt_entropy_log_dec_34 (TQWT),0.013861111111111112,0.012806065171016397
baseline_male,Boruta,30,std_7th_delta_delta (MFCC),0.013354273504273503,0.008763380203434973
baseline_male,Boruta,30,mean_MFCC_2nd_coef (MFCC),0.012653418803418802,0.015380298904581653
baseline_male,Boruta,30,tqwt_kurtosisValue_dec_26 (TQWT),0.011962222222222221,0.012922080334070057
baseline_male,Boruta,30,DFA (Baseline),0.011927536231884061,0.009874104503984774
baseline_male,Boruta,30,std_4th_delta_delta (MFCC),0.01161574074074074,0.01187199064541788
baseline_male,Boruta,30,tqwt_energy_dec_11 (TQWT),0.011521428571428573,0.015188543594936203
baseline_male,Boruta,30,tqwt_entropy_log_dec_33 (TQWT),0.01112962962962963,0.009986345224390451
baseline_male,Boruta,30,apq11Shimmer (Baseline),0.01100888888888889,0.008218483039068919
baseline_male,Boruta,30,tqwt_entropy_log_dec_12 (TQWT),0.010605820105820106,0.012715380875805173
baseline_male,Boruta,30,std_9th_delta_delta (MFCC),0.01058846153846154,0.009169292024019022
baseline_male,Boruta,30,std_7th_delta (MFCC),0.010573684210526317,0.008132198837701866
baseline_male,Boruta,30,GQ_std_cycle_open (Vocal Fold),0.009442857142857142,0.00882906369270636
baseline_male,Boruta,30,tqwt_entropy_log_dec_27 (TQWT),0.009157840083073727,0.013303097552331437
