Dataset,Method,N_Features,Classifier,Outer_Fold,Inner_Fold,Split,MCC,F1,Sensitivity,Specificity,BACC,Accuracy
male,mRMR,20,LogisticRegression,1,2,train,0.8350858764538122,0.9636363636363636,0.9298245614035088,1.0,0.9649122807017544,0.9420289855072463
male,mRMR,20,AdaBoost,1,2,val,0.5275241065994879,0.9090909090909091,0.8928571428571429,0.6666666666666666,0.7797619047619048,0.8529411764705882
male,mRMR,20,AdaBoost,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,SVM_RBF,1,2,val,0.21216710619787638,0.8999999999999999,0.9642857142857143,0.16666666666666666,0.5654761904761905,0.8235294117647058
male,mRMR,20,SVM_RBF,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,RandomForest_TUNED,1,2,val,0.7183306983482388,0.9454545454545454,0.9285714285714286,0.8333333333333334,0.8809523809523809,0.9117647058823529
male,mRMR,20,RandomForest_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,AdaBoost_TUNED,1,2,val,0.6791523742539991,0.9473684210526316,0.9642857142857143,0.6666666666666666,0.8154761904761905,0.9117647058823529
male,mRMR,20,AdaBoost_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,NeuralNetwork_TUNED,1,2,val,0.5493502655735357,0.9310344827586207,0.9642857142857143,0.5,0.7321428571428572,0.8823529411764706
male,mRMR,20,NeuralNetwork_TUNED,1,2,train,0.9523038333920102,0.9911504424778761,0.9824561403508771,1.0,0.9912280701754386,0.9855072463768116
male,mRMR,20,SVM_RBF_TUNED,1,2,val,0.37605071654517747,0.9180327868852458,1.0,0.16666666666666666,0.5833333333333334,0.8529411764705882
male,mRMR,20,SVM_RBF_TUNED,1,2,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,RandomForest,1,3,val,0.025628391481282983,0.8421052631578947,0.8571428571428571,0.16666666666666666,0.5119047619047619,0.7352941176470589
male,mRMR,20,RandomForest,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,NeuralNetwork,1,3,val,0.3098898934004561,0.896551724137931,0.9285714285714286,0.3333333333333333,0.6309523809523809,0.8235294117647058
male,mRMR,20,NeuralNetwork,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,NaiveBayes,1,3,val,0.3367175148507369,0.8727272727272727,0.8571428571428571,0.5,0.6785714285714286,0.7941176470588235
male,mRMR,20,NaiveBayes,1,3,train,0.6105899368732345,0.8952380952380952,0.8245614035087719,0.9166666666666666,0.8706140350877193,0.8405797101449275
male,mRMR,20,LogisticRegression,1,3,val,0.3367175148507369,0.8727272727272727,0.8571428571428571,0.5,0.6785714285714286,0.7941176470588235
male,mRMR,20,LogisticRegression,1,3,train,0.9523038333920102,0.9911504424778761,0.9824561403508771,1.0,0.9912280701754386,0.9855072463768116
male,mRMR,20,AdaBoost,1,3,val,0.07042952122737638,0.8620689655172413,0.8928571428571429,0.16666666666666666,0.5297619047619048,0.7647058823529411
male,mRMR,20,AdaBoost,1,3,train,0.9523038333920102,0.9911504424778761,0.9824561403508771,1.0,0.9912280701754386,0.9855072463768116
male,mRMR,20,SVM_RBF,1,3,val,0.24346971907218834,0.8771929824561403,0.8928571428571429,0.3333333333333333,0.6130952380952381,0.7941176470588235
male,mRMR,20,SVM_RBF,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,RandomForest_TUNED,1,3,val,0.025628391481282983,0.8421052631578947,0.8571428571428571,0.16666666666666666,0.5119047619047619,0.7352941176470589
male,mRMR,20,RandomForest_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,AdaBoost_TUNED,1,3,val,0.39285714285714285,0.8928571428571429,0.8928571428571429,0.5,0.6964285714285714,0.8235294117647058
male,mRMR,20,AdaBoost_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,NeuralNetwork_TUNED,1,3,val,0.39285714285714285,0.8928571428571429,0.8928571428571429,0.5,0.6964285714285714,0.8235294117647058
male,mRMR,20,NeuralNetwork_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,20,SVM_RBF_TUNED,1,3,val,0.21216710619787638,0.8999999999999999,0.9642857142857143,0.16666666666666666,0.5654761904761905,0.8235294117647058
male,mRMR,20,SVM_RBF_TUNED,1,3,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,30,RandomForest,1,0,test,0.6063726140217525,0.9333333333333332,0.9545454545454546,0.6,0.7772727272727273,0.8888888888888888
male,mRMR,30,NeuralNetwork,1,0,test,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,30,NaiveBayes,1,0,test,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,30,LogisticRegression,1,0,test,0.3170777152559948,0.8292682926829269,0.7727272727272727,0.6,0.6863636363636363,0.7407407407407407
